
k=1
[1 3 4 6 7]	15.793	[1.59 0.692 -0.0102 0.194 0.00279 0.0901]
[1 2 3 6 8]	16.549	[-0.609 0.64 0.829 -0.0166 -0.137 0.00985]
[1 4 5 6 8]	16.694	[1.24 0.599 0.207 0.855 -0.191 0.00667]
[1 2 4 7 8]	16.829	[0.127 0.568 0.606 0.108 -0.126 0.00858]
[1 3 4 7 8]	16.927	[3.1 0.65 -0.00982 0.205 -0.166 0.0092]
[2 3 5 6 7]	16.982	[-3.33 1.04 -0.00559 1.05 0.0835 0.319]
[1 3 6 7 8]	17.447	[2.4 0.743 0.000538 -0.145 -0.191 0.0113]
[1 3 4 6 8]	17.561	[2.16 0.697 -0.0135 0.197 -0.0907 0.0083]
[1 2 6 7 8]	17.692	[-0.593 0.631 0.749 -0.127 -0.121 0.0109]
[1 2 4 6 8]	17.857	[-0.895 0.612 0.634 0.091 -0.094 0.00828]
[2 5 6 7 8]	19.072	[-2.62 1.02 1.01 0.0417 0.151 0.00616]
[1 4 6 7 8]	19.149	[2.69 0.695 0.182 -0.0951 -0.221 0.0116]
[2 3 5 7 8]	19.431	[-2.58 1.05 -0.0058 1.07 0.175 0.007]
[3 5 6 7 8]	19.616	[0.594 0.0178 1.16 0.0793 0.0456 0.00584]
[2 3 5 6 8]	19.777	[-1.56 1.02 -0.00236 0.994 0.0415 0.00923]
[2 3 6 7 8]	20.257	[-2.17 1.11 -0.00605 0.225 0.12 0.00823]
[2 3 4 6 7]	20.692	[-2.36 0.966 -0.00992 0.116 0.318 0.299]
[2 3 4 5 6]	21.162	[-0.358 0.742 -0.00183 0.175 1.17 0.165]
[2 4 5 6 7]	21.209	[-2.34 0.779 0.157 1.16 0.0989 0.256]
[2 3 4 5 7]	21.708	[-2.58 0.842 -0.0115 0.162 1.35 0.359]
[2 4 6 7 8]	23.586	[-1.48 0.924 0.111 0.251 0.0595 0.00849]
[2 3 4 6 8]	23.726	[-0.668 0.946 -0.00825 0.122 0.249 0.0102]
[2 4 5 6 8]	24.135	[-0.811 0.771 0.162 1.12 0.0553 0.00832]
[2 4 5 7 8]	24.361	[-1.62 0.79 0.156 1.21 0.108 0.00743]
[3 4 5 6 7]	24.584	[0.808 0.000389 0.278 1.34 0.129 0.197]
[2 3 4 5 8]	24.738	[-0.471 0.809 -0.00859 0.168 1.2 0.0101]
[3 4 6 7 8]	26.456	[2.22 0.004 0.245 0.326 -0.031 0.00879]
[4 5 6 7 8]	26.686	[1.65 0.28 1.31 0.0856 0.0518 0.00619]
[3 4 5 6 8]	27.116	[1.9 0.00119 0.279 1.3 0.0858 0.0071]
[3 4 5 7 8]	28.378	[1.54 0.000274 0.278 1.44 0.0515 0.00799]
[2 3 4 7 8]	30.214	[-1.82 1.09 -0.0109 0.0865 0.0878 0.0164]

k=6
[1 2 3 5 7 8]	12.009	[-0.663 0.496 0.812 -0.0121 0.415 0.0114 0.00511]
[1 2 3 5 6 7]	12.691	[-1.92 0.57 0.805 -0.0141 0.691 -0.148 0.214]
[1 2 3 4 5 7]	12.990	[-0.422 0.497 0.616 -0.0174 0.152 0.643 0.142]
[1 2 3 4 5 6]	13.436	[0.288 0.574 0.562 -0.0129 0.149 0.792 -0.0941]
[1 2 3 4 5 8]	13.810	[0.428 0.488 0.614 -0.0173 0.154 0.553 0.00536]
[1 2 4 5 6 7]	14.301	[-1.36 0.541 0.557 0.129 0.805 -0.121 0.129]
[1 3 4 5 6 7]	14.364	[1.35 0.607 -0.011 0.224 0.898 -0.129 0.114]
[1 2 3 5 6 8]	14.641	[-0.711 0.589 0.803 -0.0147 0.627 -0.222 0.00919]
[1 2 4 5 7 8]	14.854	[0.00336 0.479 0.555 0.139 0.564 -0.0706 0.00561]
[1 3 4 5 7 8]	14.972	[2.7 0.541 -0.00954 0.233 0.646 -0.0961 0.00573]
